name,state,district,lat,lon,capacity,shelter_type,data_source
Shelter Primary School,Gujarat,Ahmedabad,22.7611,72.2477,360,Community Hall,Synthetic Generation
Shelter Primary School,Gujarat,Rajkot,22.02,70.7455,923,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Porbandar,21.6084,69.7871,355,School,Synthetic Generation
Shelter Primary School,Gujarat,Junagadh,21.3729,70.4136,451,School,Synthetic Generation
Shelter Primary School,Gujarat,Amreli,21.4216,71.2534,279,School,Synthetic Generation
Shelter Primary School,Gujarat,Amreli,21.4216,71.2534,632,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Amreli,21.4216,71.2534,423,Community Hall,Synthetic Generation
Shelter Primary School,Gujarat,Amreli,21.3574,70.9044,401,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Gujarat,Bhavnagar,21.5717,71.9007,412,Community Hall,Synthetic Generation
Shelter Primary School,Gujarat,Anand,21.7093,73.3353,624,Community Hall,Synthetic Generation
Shelter Primary School,Gujarat,Kheda,22.9857,73.0017,902,Community Hall,Synthetic Generation
Shelter Primary School,Gujarat,Kheda,23.0995,73.163,642,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Gujarat,Kheda,22.9465,73.2224,197,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Panch Mahals,22.7204,73.6293,840,School,Synthetic Generation
Shelter Primary School,Gujarat,Panch Mahals,22.7204,73.6293,227,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Gujarat,Panch Mahals,22.7204,73.6293,938,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Panch Mahals,22.7204,73.6293,381,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Gujarat,Panch Mahals,22.4232,73.6086,952,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Vadodara,22.2454,73.2327,684,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Gujarat,Vadodara,22.2454,73.2327,112,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Vadodara,22.2454,73.2327,928,Community Hall,Synthetic Generation
Shelter Primary School,Gujarat,Vadodara,22.2454,73.2327,827,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Vadodara,22.2454,73.2327,973,Community Hall,Synthetic Generation
Shelter Primary School,Gujarat,Bharuch,21.7793,72.9224,440,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Navsari,20.8134,73.0929,584,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Navsari,20.9904,72.8927,945,School,Synthetic Generation
Shelter Primary School,Gujarat,Navsari,20.8134,73.0929,180,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Valsad,20.3311,73.1888,139,Community Hall,Synthetic Generation
Shelter Primary School,Gujarat,Surat,21.2623,73.0694,604,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Surat,21.2623,73.0694,521,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Gujarat,Dahod,22.6843,74.312,82,Government Building,Synthetic Generation
Shelter Primary School,Gujarat,Dahod,23.0014,74.1062,176,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Gujarat,Dahod,22.5998,73.801,261,School,Synthetic Generation
Shelter Primary School,Haryana,Yamuna Nagar,30.2539,77.199,922,School,Synthetic Generation
Shelter Primary School,Haryana,Panipat,29.2463,76.8957,895,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Haryana,Fatehabad,29.4155,75.5503,341,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Haryana,Fatehabad,29.6583,75.8678,152,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Haryana,Bhiwani,28.6312,75.9432,403,Government Building,Synthetic Generation
Shelter Primary School,Haryana,Rohtak,29.0149,76.6758,269,Government Building,Synthetic Generation
Shelter Primary School,Haryana,Jhajjar,28.7554,76.904,487,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Haryana,Rewari,28.1963,76.3974,554,School,Synthetic Generation
Shelter Primary School,Himachal Pradesh,Chamba,32.461,76.4737,555,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Himachal Pradesh,Chamba,32.844,76.0347,615,Government Building,Synthetic Generation
Shelter Primary School,Himachal Pradesh,Kangra,32.177,75.9505,136,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Himachal Pradesh,Kangra,32.0305,76.1354,342,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Himachal Pradesh,Kangra,31.8287,76.3485,277,Community Hall,Synthetic Generation
Shelter Primary School,Himachal Pradesh,Kangra,31.958,76.3144,613,Government Building,Synthetic Generation
Shelter Primary School,Himachal Pradesh,Lahul & Spiti,32.1586,78.1313,677,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Himachal Pradesh,Mandi,31.4489,77.0434,996,Community Hall,Synthetic Generation
Shelter Primary School,Himachal Pradesh,Una,31.5807,76.2101,842,Government Building,Synthetic Generation
Shelter Primary School,Himachal Pradesh,Sirmaur,30.7139,77.2956,139,Government Building,Synthetic Generation
Shelter Primary School,Himachal Pradesh,Shimla,31.2984,77.4277,183,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Himachal Pradesh,Kinnaur,31.5968,78.4126,689,School,Synthetic Generation
Shelter Primary School,Himachal Pradesh,Kinnaur,31.5108,78.2654,565,Government Building,Synthetic Generation
Shelter Primary School,Himachal Pradesh,Bilaspur (HP),31.4957,76.7008,948,School,Synthetic Generation
Shelter Primary School,Jammu & Kashmir,Poonch,33.5874,74.2565,608,School,Synthetic Generation
Shelter Primary School,Jammu & Kashmir,Srinagar,34.1621,74.8647,405,Community Hall,Synthetic Generation
Shelter Primary School,Jammu & Kashmir,Ananthnag,33.8152,75.3575,383,Government Building,Synthetic Generation
Shelter Primary School,Jammu & Kashmir,Doda,33.1008,75.6497,892,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Jammu & Kashmir,Udhampur,32.6976,75.4132,807,School,Synthetic Generation
Shelter Primary School,Kerala,Kannur,12.0418,75.3473,86,Community Hall,Synthetic Generation
Shelter Primary School,Kerala,Kannur,11.8547,75.483,511,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Kerala,Kannur,11.8547,75.483,157,Community Hall,Synthetic Generation
Shelter Primary School,Kerala,Kannur,12.037,75.6696,714,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Kerala,Wayanad,11.7112,76.0981,300,Community Hall,Synthetic Generation
Shelter Primary School,Kerala,Kozhikode,11.2855,75.7837,294,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Kerala,Kozhikode,11.6103,75.7806,624,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Kerala,Kozhikode,11.5,75.9667,308,Government Building,Synthetic Generation
Shelter Primary School,Kerala,Kozhikode,11.4878,75.7743,744,School,Synthetic Generation
Shelter Primary School,Kerala,Malappuram,11.1357,76.0365,209,School,Synthetic Generation
Shelter Primary School,Kerala,Malappuram,11.1274,76.1064,254,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Kerala,Malappuram,11.2153,76.1418,356,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Kerala,Palakkad,10.7691,76.6533,427,School,Synthetic Generation
Shelter Primary School,Kerala,Thrissur,10.6554,76.1174,630,School,Synthetic Generation
Shelter Primary School,Kerala,Thrissur,10.6832,76.334,264,School,Synthetic Generation
Shelter Primary School,Kerala,Thrissur,10.2326,76.1951,253,Government Building,Synthetic Generation
Shelter Primary School,Kerala,Thrissur,10.3671,76.3232,889,School,Synthetic Generation
Shelter Primary School,Kerala,Ernakulam,10.0975,76.3717,160,Government Building,Synthetic Generation
Shelter Primary School,Kerala,Ernakulam,9.8694,76.5753,691,Government Building,Synthetic Generation
Shelter Primary School,Kerala,Idukki,9.9029,76.7696,154,Community Hall,Synthetic Generation
Shelter Primary School,Kerala,Kottayam,9.5416,76.6986,96,Community Hall,Synthetic Generation
Shelter Primary School,Kerala,Kottayam,9.5135,76.5697,577,Government Building,Synthetic Generation
Shelter Primary School,Kerala,Kottayam,9.633,76.679,749,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Kerala,Kottayam,9.669,76.5592,116,School,Synthetic Generation
Shelter Primary School,Kerala,Alappuzha,9.4236,76.4496,126,Government Building,Synthetic Generation
Shelter Primary School,Kerala,Pathanamthitta,9.2841,76.929,276,Community Hall,Synthetic Generation
Shelter Primary School,Kerala,Pathanamthitta,9.4,76.6667,83,School,Synthetic Generation
Shelter Primary School,Kerala,Pathanamthitta,9.4,76.6667,743,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Kerala,Pathanamthitta,9.2422,76.7424,500,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Kerala,Pathanamthitta,9.2422,76.7424,702,Community Hall,Synthetic Generation
Shelter Primary School,Kerala,Pathanamthitta,9.265,76.7873,782,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Kerala,Thiruvananthapuram,8.4954,76.9305,580,Government Building,Synthetic Generation
Shelter Primary School,Kerala,Thiruvananthapuram,8.5988,76.8788,825,School,Synthetic Generation
Shelter Primary School,Kerala,Thiruvananthapuram,8.5509,76.9357,82,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Kerala,Thiruvananthapuram,8.7124,76.7431,311,School,Synthetic Generation
Shelter Primary School,Maharashtra,Nandurbar,21.7049,74.489,691,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Maharashtra,Dhule,20.9493,74.4169,639,School,Synthetic Generation
Shelter Primary School,Maharashtra,Dhule,21.1311,74.3126,342,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Maharashtra,Jalgaon,20.617,75.8235,651,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Buldhana,19.9398,76.3869,306,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Akola,20.8504,77.1918,622,Government Building,Synthetic Generation
Shelter Primary School,Maharashtra,Akola,20.7886,77.5879,724,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Akola,20.7494,77.054,353,School,Synthetic Generation
Shelter Primary School,Maharashtra,Washim,20.1687,77.3536,502,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Amravati,20.9053,77.6053,586,School,Synthetic Generation
Shelter Primary School,Maharashtra,Amravati,21.3403,78.0651,695,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Maharashtra,Wardha,20.7664,78.7001,367,School,Synthetic Generation
Shelter Primary School,Maharashtra,Nagpur,21.2324,78.6272,153,Government Building,Synthetic Generation
Shelter Primary School,Maharashtra,Nagpur,21.3851,78.9216,394,School,Synthetic Generation
Shelter Primary School,Maharashtra,Nagpur,21.5683,79.2934,836,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Gondia,21.5629,80.1677,524,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Gondia,21.3541,79.9219,573,Government Building,Synthetic Generation
Shelter Primary School,Maharashtra,Chandrapur,20.274,78.952,225,School,Synthetic Generation
Shelter Primary School,Maharashtra,Yavatmal,20.0845,78.1628,183,School,Synthetic Generation
Shelter Primary School,Maharashtra,Yavatmal,20.1455,78.2393,657,School,Synthetic Generation
Shelter Primary School,Maharashtra,Hingoli,19.9244,77.1744,231,School,Synthetic Generation
Shelter Primary School,Maharashtra,Parbhani,19.1553,76.7616,868,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Maharashtra,Jalna,19.4886,75.9917,641,School,Synthetic Generation
Shelter Primary School,Maharashtra,Aurangabad,20.5055,75.761,605,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Nashik,20.2597,74.0726,945,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Nashik,20.2597,74.0726,695,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Nashik,20.0386,74.1157,463,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Maharashtra,Nashik,20.2732,74.1644,159,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Thane,19.36,73.3279,828,Government Building,Synthetic Generation
Shelter Primary School,Maharashtra,Mumbai,19.0073,72.8421,299,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Mumbai,18.9808,72.8338,185,School,Synthetic Generation
Shelter Primary School,Maharashtra,Pune,18.6886,73.6256,490,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Maharashtra,Pune,18.5716,74.07,641,School,Synthetic Generation
Shelter Primary School,Maharashtra,Pune,18.5732,73.8739,700,Government Building,Synthetic Generation
Shelter Primary School,Maharashtra,Pune,18.5716,74.07,708,Government Building,Synthetic Generation
Shelter Primary School,Maharashtra,Pune,18.7055,74.336,440,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Ahmed Nagar,19.2042,74.6779,506,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Maharashtra,Ahmed Nagar,18.717,74.7429,445,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Ahmed Nagar,19.0469,74.6015,913,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Maharashtra,Ahmed Nagar,19.2042,74.6779,201,Government Building,Synthetic Generation
Shelter Primary School,Maharashtra,Ahmed Nagar,19.4851,74.9684,544,Government Building,Synthetic Generation
Shelter Primary School,Maharashtra,Ahmed Nagar,18.7471,74.638,131,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Osmanabad,18.1896,76.0397,925,Government Building,Synthetic Generation
Shelter Primary School,Maharashtra,Osmanabad,17.916,76.2635,474,School,Synthetic Generation
Shelter Primary School,Maharashtra,Osmanabad,18.1896,76.0397,333,Government Building,Synthetic Generation
Shelter Primary School,Maharashtra,Solapur,17.792,75.4847,380,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Solapur,17.8439,75.4103,109,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Maharashtra,Satara,17.6661,74.1735,624,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Ratnagiri,17.2734,73.4573,476,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Ratnagiri,17.4898,73.5155,548,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Ratnagiri,17.8,73.5947,894,School,Synthetic Generation
Shelter Primary School,Maharashtra,Sindhudurg,16.1323,73.7383,218,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Maharashtra,Sindhudurg,16.1323,73.7383,750,Government Building,Synthetic Generation
Shelter Primary School,Maharashtra,Kolhapur,16.4704,74.1612,744,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Maharashtra,Kolhapur,16.4704,74.1612,777,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Sangli,17.1109,74.7832,936,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Maharashtra,Sangli,17.1109,74.7832,766,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Maharashtra,Sangli,17.0831,75.2495,767,Community Hall,Synthetic Generation
Shelter Primary School,Maharashtra,Sangli,17.0232,74.6984,862,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Maharashtra,Raigarh(MH),18.8156,73.8298,205,School,Synthetic Generation
Shelter Primary School,Maharashtra,Raigarh(MH),18.3484,73.1603,762,Government Building,Synthetic Generation
Shelter Primary School,Manipur,Churachandpur,24.2271,93.2055,186,Government Building,Synthetic Generation
Shelter Primary School,Manipur,Imphal West,24.6816,93.1544,188,School,Synthetic Generation
Shelter Primary School,Meghalaya,East Garo Hills,25.7027,90.8233,108,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Belagavi,16.1195,74.823,355,Government Building,Synthetic Generation
Shelter Primary School,Karnataka,Bagalkot,15.8562,75.7708,869,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Bagalkot,16.0676,76.293,825,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Vijayapura,16.6854,76.0927,457,School,Synthetic Generation
Shelter Primary School,Karnataka,Bidar,17.9528,77.2265,783,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Karnataka,Bidar,18.0832,77.2406,338,School,Synthetic Generation
Shelter Primary School,Karnataka,Koppal,15.9116,76.0133,587,School,Synthetic Generation
Shelter Primary School,Karnataka,Dharwad,15.318,75.1763,585,School,Synthetic Generation
Shelter Primary School,Karnataka,Dharwad,15.3492,75.0811,221,Government Building,Synthetic Generation
Shelter Primary School,Karnataka,Dharwad,15.2561,75.2474,92,School,Synthetic Generation
Shelter Primary School,Karnataka,Uttara Kannada,14.7083,74.2653,897,School,Synthetic Generation
Shelter Primary School,Karnataka,Uttara Kannada,14.3149,74.4776,708,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Karnataka,Uttara Kannada,14.8601,74.8078,461,Government Building,Synthetic Generation
Shelter Primary School,Karnataka,Haveri,14.6697,75.1368,399,School,Synthetic Generation
Shelter Primary School,Karnataka,Ballari,15.1871,77.094,529,School,Synthetic Generation
Shelter Primary School,Karnataka,Chitradurga,13.8861,76.6989,876,Government Building,Synthetic Generation
Shelter Primary School,Karnataka,Chitradurga,14.1675,76.5164,518,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Chitradurga,14.1675,76.5164,996,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Shivamogga,13.8127,75.2444,266,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Karnataka,Shivamogga,13.8952,75.3838,833,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Udupi,13.2962,74.7926,604,School,Synthetic Generation
Shelter Primary School,Karnataka,Udupi,13.6777,74.6978,895,School,Synthetic Generation
Shelter Primary School,Karnataka,Chikkamagaluru,13.1592,75.4647,772,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Chikkamagaluru,13.4543,75.6913,65,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Karnataka,Tumakuru,13.0058,77.0461,70,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Tumakuru,13.5202,76.9477,120,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Tumakuru,13.6496,77.3079,774,School,Synthetic Generation
Shelter Primary School,Karnataka,Tumakuru,12.998,76.8971,660,School,Synthetic Generation
Shelter Primary School,Karnataka,Mandya,12.8065,76.509,130,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Dakshina Kannada,12.9558,74.9175,979,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Dakshina Kannada,12.7931,75.3247,613,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Dakshina Kannada,12.5616,75.4855,545,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Kodagu,12.3244,75.8033,727,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Kodagu,12.6596,75.9136,804,School,Synthetic Generation
Shelter Primary School,Karnataka,Mysuru,12.3204,76.3134,121,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Karnataka,Chamrajnagar,11.9843,77.0168,250,Cyclone Shelter,Synthetic Generation
Shelter Primary School,Karnataka,Chamrajnagar,11.9569,77.0998,153,School,Synthetic Generation
Shelter Primary School,Karnataka,Chamrajnagar,12.1108,77.3102,897,School,Synthetic Generation
Shelter Primary School,Karnataka,Yadgir,16.8905,77.4078,730,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Yadgir,16.7154,76.7979,515,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Bengaluru,13.2257,77.575,208,Community Hall,Synthetic Generation
Shelter Primary School,Karnataka,Bengaluru,13.2257,77.575,972,School,Synthetic Generation
Shelter Primary School,Nagaland,Wokha,26.1951,94.2453,550,Government Building,Synthetic Generation
